,category,counts
0,TRAVEL,10283
1,WOMEN,5023
2,POLITICS,3276
3,PARENTING,2726
4,WORLDPOST,2651
5,CRIME,1992
6,BUSINESS,667
7,ENTERTAINMENT,577
8,IMPACT,444
9,THE WORLDPOST,368
10,RELIGION,321
11,ARTS & CULTURE,296
12,GREEN,257
13,TECH,234
14,QUEER VOICES,221
15,MEDIA,219
16,WEDDINGS,200
17,SPORTS,196
18,MONEY,177
19,WORLD NEWS,166
20,COLLEGE,138
21,ARTS,128
22,STYLE & BEAUTY,119
23,BLACK VOICES,92
24,WELLNESS,88
25,GOOD NEWS,83
26,HEALTHY LIVING,82
27,HOME & LIVING,74
28,WEIRD NEWS,74
29,COMEDY,73
30,DIVORCE,66
31,FOOD & DRINK,65
32,EDUCATION,61
33,ENVIRONMENT,56
34,PARENTS,41
35,SCIENCE,38
36,CULTURE & ARTS,33
37,STYLE,29
38,FIFTY,24
39,TASTE,23
40,LATINO VOICES,6
